Id,SalePrice,bhk,sqft,YearBuilt
1549,157580.1776,2,6240,1936
1550,181922.1526,4,6240,1930
1551,155134.2278,2,6120,1923
1552,188885.5733,4,8094,1915
1553,183963.193,3,12900,1912
1554,161298.7623,3,3068,1920
1555,188613.6676,3,15263,1959
1556,175080.1118,3,10632,1917
1557,174744.4003,3,9900,1915
1558,168175.9113,3,6001,1940
1559,182333.4726,4,6449,1907
1560,158307.2067,2,6048,1910
1561,193053.0555,4,10773,1967
1562,175031.09,3,7800,1966
1563,160713.2946,2,7832,1968
1564,173186.215,3,7424,1978
1565,191736.7598,4,11227,1968
1566,170401.631,1,20062,1977
1567,164626.5779,2,9259,1927
1568,205469.4094,4,17082,1978
1569,209561.7842,4,18600,1938
1570,182271.5031,3,11479,1950
1571,178081.5494,3,9350,1947
1572,178425.9561,3,9525,1954
1573,162015.3185,1,17485,2009
1574,181722.4204,3,11200,1964
1575,156705.7302,1,11980,1987
1576,182902.4203,3,12361,1993
1577,157574.5954,2,7360,2010
1578,184380.7391,3,14235,1900
1579,169364.4692,2,11105,1996
1580,175846.1798,3,9337,1997
1581,189673.2953,3,15240,1977
1582,174401.3177,3,7480,1972
1583,179021.4487,3,10389,2003
1584,189196.8453,4,9375,1997
1585,139647.0957,1,4435,2003
1586,161468.1983,2,8777,1945
1587,171557.3232,3,8842,1954
1588,179447.368,3,10044,1968
1589,169611.619,2,11792,1948
1590,172088.8727,3,6305,1975
1591,171190.6241,3,6410,1958
1592,154850.5084,2,4853,1924
1593,158617.6557,2,7890,1939
1594,209258.3369,6,7200,1967
1595,177939.0276,3,9839,1931
1596,194631.1003,4,10452,1941
1597,213618.8716,5,15600,1950
1598,198342.5042,3,19645,1994
1599,138607.9715,1,3907,1989
1600,150778.959,2,3907,1989
1601,146966.2303,1,8154,1941
1602,162182.5962,2,9140,1921
1603,176825.941,3,8712,1896
1604,152799.8124,2,3811,2004
1605,180322.3221,3,11050,1998
1606,177508.0272,3,9620,1977
1607,208029.6427,5,12760,1976
1608,181987.2825,3,11896,2008
1609,160172.728,2,9803,2009
1610,176761.3177,3,9802,2006
1611,176515.4975,2,15300,1965
1612,176270.4531,3,10114,2004
1613,183050.8463,3,11875,1999
1614,150011.1021,2,2394,1973
1615,159270.5378,3,1476,1970
1616,163419.6637,3,1900,1970
1617,163399.9833,3,1890,1972
1618,173364.1615,3,6953,1971
1619,169556.8359,2,12887,1984
1620,183690.596,4,7700,1985
1621,176980.9149,3,10475,1991
1622,204773.3622,5,10544,1969
1623,174728.656,3,9892,1994
1624,181873.4582,3,12961,1993
1625,177322.0008,2,13008,1956
1626,193927.939,4,10200,1974
1627,181715.6227,3,10179,1997
1628,199270.8412,4,11792,2003
1629,177109.59,3,8400,1996
1630,153909.5783,1,7296,2004
1631,162931.2033,2,7380,1998
1632,166386.7567,2,8013,1995
1633,173719.3038,3,8923,1998
1634,179757.9257,3,7500,1998
1635,179007.602,3,8803,1994
1636,180370.8086,3,7250,1993
1637,185102.6167,3,11900,1977
1638,198825.5635,4,13250,1978
1639,184294.576,3,10928,1978
1640,200443.7921,4,12388,1980
1641,181294.7845,3,11088,1978
1642,174354.3363,3,7000,2003
1643,172023.6778,3,7500,2000
1644,181666.9229,3,8470,2002
1645,179024.4913,3,9373,1975
1646,178324.1916,3,10140,1974
1647,184534.6767,3,11050,1975
1648,159397.2504,2,7830,1970
1649,178430.9667,3,8510,1971
1650,177743.7994,3,7038,1970
1651,179395.3055,3,9000,1971
1652,151713.3847,2,1680,1973
1653,151713.3847,2,1680,1972
1654,168434.978,3,2308,1976
1655,153999.1003,2,2280,1975
1656,164096.0974,3,2349,1977
1657,166335.403,3,2364,1978
1658,163020.7254,3,2364,1978
1659,155862.5107,2,2104,1976
1660,182760.6511,3,10710,1966
1661,201912.2706,4,14257,2007
1662,185988.234,3,12350,2009
1663,183778.4489,3,12350,2008
1664,170935.8592,2,13693,2007
1665,184468.9084,3,11578,2008
1666,191569.0897,3,16870,2004
1667,232991.0256,5,23303,2007
1668,180980.7214,3,10367,2008
1669,164279.1305,2,10872,2006
1670,183859.4604,3,13514,2008
1671,185922.4657,3,12878,2003
1672,191742.7781,3,15274,2003
1673,199954.0725,4,13262,2003
1674,180690.2748,3,9658,2006
1675,163099.3096,2,6904,2005
1676,140791.9225,1,5122,2005
1677,166481.8665,2,10307,2007
1678,172080.4345,2,14836,2004
1679,191719.1617,3,15262,2003
1680,160741.0986,2,7390,2008
1681,157829.5469,2,6472,2008
1682,196896.7486,3,16770,2002
1683,159675.424,2,3480,2003
1684,182084.7909,3,10928,2005
1685,179233.9264,3,8918,2005
1686,155774.2709,2,3182,2005
1687,181354.3267,3,9434,2004
1688,179605.5637,3,7984,2004
1689,181609.3487,3,10125,2004
1690,178221.5316,3,8965,2003
1691,175559.9207,3,8174,2003
1692,200328.8228,4,12891,2002
1693,178630.0606,3,9734,2004
1694,177174.5352,3,8433,2000
1695,172515.6874,3,7750,1999
1696,204032.9929,4,15896,1999
1697,176023.2328,3,7848,1999
1698,202202.0733,4,12720,2000
1699,181734.4801,3,10750,1994
1700,183982.159,3,9085,1995
1701,188007.9424,3,11692,1993
1702,185922.9668,3,11194,2008
1703,183978.5449,3,10206,2008
1704,177199.6186,3,10130,2007
1705,181878.648,3,9139,2006
1706,173622.0887,2,11128,2005
1707,180728.1686,3,7993,2008
1708,176477.0266,3,8640,2008
1709,184282.2667,3,12606,2007
1710,162062.4754,2,7500,2006
1711,182550.071,3,10603,2006
1712,180987.9496,3,8125,2008
1713,178173.7976,3,10625,2006
1714,179980.6359,3,8736,2003
1715,173257.6378,3,8127,2003
1716,177271.2911,3,9605,2007
1717,175338.3554,3,7500,2006
1718,177548.1405,3,7500,2004
1719,175969.9166,3,10628,2004
1720,175011.482,3,10141,2004
1721,185199.3726,3,13072,2004
1722,188514.0502,3,13072,2004
1723,185080.1453,3,12450,2003
1724,157304.4026,2,7328,2008
1725,194260.8595,4,11492,1996
1726,181262.33,3,7703,1992
1727,157003.2927,2,7175,1990
1728,182924.4994,3,9109,1994
1729,181902.5864,3,10274,1986
1730,188985.3717,4,8250,1981
1731,185290.9045,3,9750,1962
1732,177304.4258,3,8499,1961
1733,166274.9005,2,9079,1961
1734,177807.4205,3,9316,1965
1735,180330.6248,3,7791,1963
1736,179069.1122,3,7150,1962
1737,175943.3718,2,15676,1980
1738,185199.0506,3,11949,1991
1739,167350.9108,3,2880,2004
1740,149315.3119,2,3830,2008
1741,139010.8478,1,4217,2008
1742,155412.1518,2,2998,2000
1743,171308.314,3,3768,1999
1744,176220.5433,2,14694,1977
1745,177643.435,2,15417,1981
1746,187222.6533,4,9600,1976
1747,185635.1321,3,12732,1974
1748,206492.5342,5,10400,1967
1749,181681.0211,3,9600,1969
1750,180500.1981,3,9000,1969
1751,206486.1709,4,13774,1977
1752,161334.3012,2,7130,1967
1753,176156.5583,3,9600,1967
1754,191642.2235,4,9600,1974
1755,191945.808,3,16500,1971
1756,164146.306,2,7436,1960
1757,179883.0571,3,8125,1959
1758,178071.1377,3,9450,1957
1759,188241.6379,3,13495,1956
1760,174559.6562,3,9350,1961
1761,182347.363,3,10500,1964
1762,191507.2519,4,8970,1965
1763,199751.8656,4,11475,1961
1764,162106.4161,2,9768,1955
1765,164575.9823,2,9900,1967
1766,179176.3522,3,10573,1961
1767,177327.4039,2,14695,1966
1768,177818.0838,3,8760,1956
1769,186965.204,3,12285,1960
1770,178762.7422,3,9240,1959
1771,183322.8661,3,8750,1956
1772,178903.2959,3,8750,1955
1773,186570.1294,3,10400,1956
1774,199144.2428,4,9482,1958
1775,172154.7133,3,8128,1954
1776,177444.0192,2,13070,1951
1777,166200.9381,2,8480,1945
1778,158995.7706,2,7626,1952
1779,168273.2825,2,9533,1953
1780,189680.4531,3,11419,1948
1781,181681.0211,3,9600,1950
1782,160277.1426,2,5470,1958
1783,197318.5472,4,10800,1939
1784,162228.9356,2,8146,1900
1785,187340.4555,3,10230,1925
1786,181065.347,3,10410,1915
1787,190233.6091,4,7200,1910
1788,157929.5949,2,5400,1940
1789,168557.0019,2,10800,1920
1790,160805.5846,1,10800,1890
1791,221648.392,6,9671,1969
1792,180539.8808,3,10143,1963
1793,182105.6163,3,11500,1967
1794,166380.8526,2,8010,1958
1795,178942.1556,3,10454,1957
1796,162804.7478,2,9000,1958
1797,183077.6844,3,8064,1950
1798,171728.472,3,7350,1958
1799,164786.7415,2,7200,1952
1800,177427.2672,3,8000,1959
1801,197318.5472,4,10800,1949
1802,178658.1142,3,8064,1948
1803,185437.3205,4,7570,1964
1804,169759.6525,2,8604,1978
1805,173986.6351,3,7936,1963
1806,168607.6643,3,4080,1935
1807,194138.5191,4,10307,1910
1808,192502.4409,3,15660,1910
1809,176746.9698,3,9900,1910
1810,177604.8917,3,6406,1939
1811,193283.7466,4,7627,1920
1812,181627.061,3,10134,1910
1813,169071.6203,3,6000,1950
1814,167398.0065,2,7404,1920
1815,150106.5051,1,5925,1940
1816,159650.3043,2,8520,1923
1817,179471.236,3,9600,1910
1818,177109.59,3,8400,1900
1819,166558.1133,3,3600,1917
1820,153796.7143,2,3300,1910
1821,174520.1526,3,5400,1920
1822,196297.9583,4,9720,1910
1823,169100.6816,2,9392,1900
1824,176911.3192,3,6615,1923
1825,169234.6455,3,4960,1930
1826,172386.2979,3,6000,1924
1827,156031.9048,2,6120,1925
1828,168202.8923,3,6120,1938
1829,166505.984,2,8635,1925
1830,176507.3702,3,8094,1915
1831,180116.7526,3,9928,1915
1832,183072.7406,4,3000,1922
1833,189595.9647,4,6876,1927
1834,167523.9191,3,5775,1915
1835,210817.7759,6,5852,1902
1836,172942.9308,3,5160,1927
1837,145286.2781,1,5160,1923
1838,176468.6534,3,10320,1915
1839,159040.0696,2,4280,1946
1840,178518.2043,3,10800,1987
1841,169163.9808,2,10547,1978
1842,189786.6853,4,9780,1934
1843,181246.7285,3,11625,1967
1844,176349.9272,3,8014,1978
1845,205266.631,4,15400,1961
1846,187397.9934,3,15312,1960
1847,208943.4277,4,15584,1956
1848,165014.5329,2,9000,1947
1849,182492.0376,2,15635,1954
1850,161718.7126,2,9571,1956
1851,180084.1189,3,9350,1946
1852,178534.9508,3,7440,1954
1853,151217.26,2,4235,1984
1854,156342.7176,1,10778,1990
1855,188511.4438,2,19255,1983
1856,183570.3379,3,10560,1993
1857,225810.1603,4,26400,1880
1858,214217.4011,6,7018,1979
1859,187665.641,4,7018,1979
1860,161157.1777,2,7040,1979
1861,187643.9926,4,7007,1979
1862,228156.3728,6,11855,2000
1863,220449.5347,6,7939,2000
1864,220522.3521,6,7976,2000
1865,156647.7635,1,10933,2009
1866,187388.8334,3,10816,2008
1867,178640.7238,3,9178,2008
1868,180847.2167,3,11422,2007
1869,159505.1705,2,6762,2007
1870,164305.538,2,10324,2008
1871,180181.1967,3,11645,2005
1872,184602.735,3,11646,2005
1873,193440.3722,3,16698,1992
1874,184199.7882,3,9757,1994
1875,196241.8929,3,14753,1998
1876,175588.6183,3,8750,1998
1877,179503.0465,3,10739,2002
1878,183658.0766,3,11166,2001
1879,193700.9763,3,16269,1978
1880,165399.6245,2,6950,1979
1881,186847.9448,3,11664,2002
1882,198127.7329,4,12334,2003
1883,183320.8981,3,8749,2002
1884,181613.6067,3,11250,2001
1885,178298.7918,2,15750,1999
1886,185733.534,3,12782,2002
1887,180008.1885,3,8750,1997
1888,175127.5962,3,10200,2007
1889,183467.1769,3,11069,2007
1890,182705.546,3,10682,1960
1891,152324.9436,2,3675,2005
1892,169878.516,3,6410,1959
1893,183735.9751,3,11767,1950
1894,224118.2801,6,10926,1959
1895,169355.2025,2,11767,1956
1896,180054.2764,3,8212,1941
1897,174081.602,3,6300,1938
1898,168494.985,3,5707,1935
1899,181871.5988,3,8574,1916
1900,173554.4897,3,7155,1918
1901,169805.3822,2,13680,1940
1902,176192.9907,2,14680,1960
1903,204264.3928,5,8145,1940
1904,169630.907,2,9100,1954
1905,185724.8388,3,13339,1960
1906,195699.0363,3,15600,1949
1907,189494.2762,3,17500,1954
1908,149607.9057,2,1733,1980
1909,154650.199,2,1488,1980
1910,151579.5581,2,1612,1980
1911,185147.3805,3,13607,1986
1912,196314.5312,3,17597,1971
1913,210802.3954,5,8660,1900
1914,166271.2864,2,10200,1925
1915,154865.3591,2,3843,2007
1916,173575.5053,1,21780,1910
1917,179399.5636,3,10125,2000
1918,164280.7766,2,9750,1977
1919,171247.4895,2,9360,1977
1920,166878.5872,2,11070,1991
1921,188129.4597,3,13438,2008
1922,183517.3437,3,14463,2008
1923,175522.0269,3,9839,1980
1924,190060.1053,3,14419,1987
1925,174179.8248,3,9157,2003
1926,171059.5237,2,12633,2007
1927,183004.1868,3,12518,1968
1928,183601.6474,3,13383,1969
1929,163539.3272,2,7689,1972
1930,164677.6764,2,7706,1993
1931,162395.0739,2,7669,1992
1932,182207.6323,3,10429,1992
1933,192223.9398,4,10457,1969
1934,176391.8294,3,8702,1997
1935,181913.1791,3,8139,1995
1936,179136.0979,3,9535,1998
1937,196595.5682,3,15038,1996
1938,194822.3657,3,14137,1996
1939,148356.6694,1,6264,1997
1940,160387.6043,2,5070,1992
1941,181276.5006,3,11184,1998
1942,192474.8179,3,14067,1991
1943,157699.9078,2,5950,1989
1944,215785.5408,5,13543,2005
1945,181824.301,2,15401,2004
1946,221813.0095,3,31220,1952
1947,165281.2926,2,8118,2007
1948,255629.4905,3,47280,1950
1949,173154.591,2,12680,1988
1950,183884.6525,3,10825,1983
1951,200210.3536,3,18559,1978
1952,186599.2213,3,14450,1979
1953,192718.5327,3,13068,1976
1954,178628.666,3,10400,1980
1955,180650.3424,3,9743,1969
1956,206003.1079,4,12511,1978
1957,166457.6784,2,10400,1976
1958,202916.2217,4,14311,1996
1959,192463.97,4,9000,1974
1960,171775.4972,2,10295,1969
1961,175249.2221,3,7560,1971
1962,147086.5989,2,1680,1973
1963,149709.6721,2,1890,1972
1964,171411.4045,3,1680,1972
1965,178188.9648,4,2308,1975
1966,156491.7114,2,2529,1977
1967,180953.2412,3,12704,2007
1968,203909.7591,4,13693,2007
1969,175470.1491,2,14418,2007
1970,205578.3336,4,13418,2006
1971,199428.8577,4,12539,2005
1972,187599.1639,3,12151,2005
1973,192265.1981,4,8899,2007
1974,196666.5549,4,10574,2004
1975,155537.8623,1,12720,2003
1976,169543.2406,2,10845,2003
1977,202487.0102,4,16900,2001
1978,208232.7163,4,16451,2003
1979,173621.1952,2,10110,2008
1980,172414.6086,2,12304,2005
1981,164400.7564,2,8232,2007
1982,160480.424,2,6240,2006
1983,156060.8538,2,6240,2006
1984,157437.1928,2,2448,2003
1985,158163.7209,2,3940,2003
1986,154849.0433,2,3940,2004
1987,152186.6093,2,3710,2007
1988,180340.2154,3,9024,2004
1989,178344.6245,3,8010,2002
1990,190170.3823,4,8396,2003
1991,168092.9755,2,7301,2007
1992,178757.9126,3,8220,2000
1993,174518.2569,3,7750,2002
1994,198168.4901,4,12460,1999
1995,176882.694,3,8390,1999
1996,183801.6729,3,9660,1997
1997,196400.0467,4,11000,2000
1998,172281.605,2,11675,1998
1999,196380.3663,4,10990,1996
2000,198228.3543,4,11929,1995
2001,195556.5813,4,10010,1993
2002,186453.2645,3,13253,2006
2003,181869.3812,3,9801,2007
2004,175610.8401,3,9428,2007
2005,183438.7308,3,10037,2006
2006,179584.4887,3,8640,2007
2007,182386.1522,3,10625,2007
2008,160750.3672,2,7500,2007
2009,182477.505,3,10110,2003
2010,187720.3592,3,12774,2003
2011,187201.9421,3,13072,2005
2012,176385.1022,3,9260,2007
2013,175901.7878,3,8453,1995
2014,182584.2802,3,8480,1993
2015,195664.6861,3,14565,1994
2016,181420.3465,3,8450,2001
2017,176676.05,3,8285,1992
2018,181594.6789,3,9100,1963
2019,178521.748,3,8100,1961
2020,175895.8837,3,8450,1968
2021,168468.0059,3,6360,1963
2022,200973.1294,3,19508,1974
2023,197030.642,4,10759,1972
2024,192867.4178,4,9205,1990
2025,196449.2476,4,11025,1993
2026,141684.1964,1,3435,2004
2027,153353.3341,2,3180,2005
2028,151143.549,2,3180,2007
2029,163753.0871,3,2280,1999
2030,158682.46,2,4765,2000
2031,144959.8353,1,4538,2001
2032,160144.3905,2,4385,2001
2033,156286.5343,2,4109,1999
2034,165726.7076,3,2160,1999
2035,182427.481,3,10646,2001
2036,173310.5615,3,2645,1999
2037,173310.5615,3,2645,1999
2038,151556.014,2,3951,1998
2039,158908.1461,1,11064,1995
2040,209834.3831,3,24572,1977
2041,192410.5166,3,16280,1976
2042,174026.2473,3,7500,2002
2043,195499.8301,4,11104,1969
2044,200918.0188,4,11050,1968
2045,207243.616,4,15387,1967
2046,196149.7839,4,9750,1965
2047,192097.9149,4,8814,1968
2048,178570.9489,3,8125,1965
2049,228617.9683,6,11072,1965
2050,199929.8844,4,13355,1971
2051,160206.3656,2,7785,1956
2052,179854.4319,3,9900,1961
2053,185987.3405,3,11332,1960
2054,161122.5056,2,4882,1937
2055,175949.3427,3,9600,1960
2056,183683.5906,3,9600,1950
2057,176401.3476,3,7584,1953
2058,205832.5325,4,14670,1966
2059,177799.7998,3,8856,1957
2060,167565.3621,2,9840,1959
2061,186348.9584,3,13200,1958
2062,179782.7595,3,10425,1956
2063,169837.6233,2,11556,1952
2064,178817.2757,3,9373,1953
2065,174444.4791,2,12774,1953
2066,192834.9689,3,14250,1957
2067,196564.718,4,8838,1957
2068,206977.567,5,12436,1957
2069,157054.2539,1,10122,1948
2070,175142.9481,3,7506,1925
2071,159932.1644,2,5400,1940
2072,182801.4083,3,10836,1922
2073,181510.3752,3,10180,1968
2074,181613.0351,3,11355,1958
2075,186920.5126,3,12929,1960
2076,157950.1706,2,7200,1951
2077,176115.159,3,8000,1959
2078,182744.5143,3,8000,1962
2079,180660.6837,3,8064,1948
2080,160775.6298,2,6390,1954
2081,186711.7158,4,7200,1954
2082,223581.7582,6,8513,1961
2083,172330.9432,3,7200,1955
2084,163474.6334,2,7200,1954
2085,175308.2633,3,7590,1963
2086,187462.7253,3,9836,2008
2087,180655.1015,3,9184,1948
2088,152121.986,2,4800,1910
2089,159856.2339,2,4800,1940
2090,186559.8549,4,6000,1915
2091,183962.551,3,11426,1910
2092,162107.1687,2,7628,1940
2093,162582.289,2,7308,1920
2094,154407.7016,2,5400,1920
2095,181625.6664,3,10800,1940
2096,164810.6095,2,6756,1910
2097,176429.4012,3,5914,1890
2098,179188.0899,3,9000,1946
2099,145997.6354,1,7311,1946
2100,218676.7683,5,12205,1949
2101,188323.8612,4,9142,1900
2102,168690.0723,3,5350,1920
2103,165088.7468,2,9143,1900
2104,191435.0079,4,9600,1920
2105,168864.4047,3,6000,1905
2106,176041.8824,2,11340,1920
2107,215911.6744,5,10800,1890
2108,167388.2386,2,9750,1959
2109,163854.7868,2,8516,1958
2110,163299.478,2,7111,1928
2111,178298.2146,3,7425,1945
2112,176376.5862,3,7010,1935
2113,170211.044,3,5000,1941
2114,170818.3448,3,5870,1900
2115,174388.8674,3,6000,1940
2116,161112.9874,2,6000,1924
2117,172179.0823,3,6000,1937
2118,157798.3097,2,6000,1939
2119,169106.1514,3,5000,1926
2120,170129.5314,3,5520,1920
2121,157680.2274,2,5940,1946
2122,162690.2091,2,6240,1929
2123,146968.3794,1,6120,1945
2124,181507.7214,4,6240,1939
2125,191215.5898,4,6120,1923
2126,189432.6898,4,9144,1915
2127,207271.485,5,8094,1910
2128,170030.8075,3,4347,1910
2129,148409.8065,1,6291,1930
2130,193850.614,4,10266,1952
2131,193808.3193,4,6876,1938
2132,166300.2354,2,10320,1915
2133,163474.6334,2,7200,1925
2134,177473.6066,3,7006,1925
2135,157443.9255,1,10320,1912
2136,180681.008,3,10320,1915
2137,183463.1703,3,9488,1947
2138,182481.7631,3,11235,1963
2139,193717.1512,3,13014,1978
2140,182782.551,3,10265,1967
2141,175530.6516,3,7703,1978
2142,177804.0579,3,9981,1967
2143,159448.6708,2,7400,1984
2144,181338.9767,3,12900,1920
2145,178553.5585,3,9239,1963
2146,162820.9283,1,14175,1956
2147,188832.48,3,10532,1960
2148,164682.1859,2,8375,1941
2149,181549.7359,3,10200,1970
2150,199158.097,3,20270,1979
2151,152889.521,2,5190,1948
2152,181150.5517,2,19550,1940
2153,181416.7324,3,9571,1956
2154,164391.2382,2,9350,1975
2155,185421.0465,3,9360,1962
2156,193981.3276,4,9771,1995
2157,178824.3248,3,9938,1994
2158,209270.0516,4,14171,1993
2159,177801.2668,3,10541,1996
2160,179053.7622,3,10616,2007
2161,178762.1706,3,9345,2007
2162,184655.3005,3,11778,2008
2163,191284.6558,3,11778,2008
2164,179598.0858,3,11454,1995
2165,167517.6281,2,11500,1966
2166,182873.9038,3,9750,1994
2167,177484.9137,3,8696,1997
2168,188444.5973,3,13142,1997
2169,179184.1538,3,8998,2000
2170,184365.1758,3,12192,2000
2171,184479.322,3,12250,1978
2172,182927.8639,3,9216,1975
2173,178611.6394,2,14330,1975
2174,181943.3436,3,10400,2001
2175,175080.6148,3,9720,2001
2176,190720.7946,3,14860,2002
2177,198422.8681,4,10905,2003
2178,184482.1131,3,11690,1999
2179,139214.9522,1,4426,2004
2180,169233.1136,2,10126,1997
2181,180664.1187,3,9750,2004
2182,178818.7426,3,11058,2007
2183,180422.05,3,9627,2007
2184,178601.9365,3,9825,1966
2185,183083.1598,3,12102,1976
2186,173163.1015,3,6500,1976
2187,185968.1612,3,9638,1977
2188,171226.0507,3,7200,1976
2189,281643.9761,5,47007,1959
2190,160031.7113,2,6012,1955
2191,162775.9798,2,6845,1955
2192,160735.446,2,6931,1955
2193,166646.109,2,12180,1938
2194,188384.5484,4,8050,1947
2195,165830.6973,2,9520,1953
2196,182138.3585,3,7692,1954
2197,171595.398,3,5142,1923
2198,160337.0792,2,7290,1921
2199,191215.0887,4,7804,1930
2200,166956.0932,2,8969,1926
2201,186581.8309,3,15564,1914
2202,176450.5486,3,7609,1925
2203,193743.1949,4,9650,1923
2204,198882.5661,4,11700,1937
2205,176385.1022,3,9260,1938
2206,162447.6393,2,7801,1951
2207,193782.5557,4,9670,1935
2208,183653.8909,3,12392,1950
2209,210578.6235,3,26073,1956
2210,158527.1641,2,1879,1980
2211,163081.0257,2,7000,1926
2212,174388.8674,3,6000,1940
2213,191905.8701,4,8155,1930
2214,174388.8674,3,6000,1967
2215,161642.7116,2,7392,1930
2216,186939.5072,4,9000,1958
2217,172482.1658,2,14584,1952
2218,159695.9998,2,5280,1895
2219,157230.3697,2,5150,1910
2220,179188.0899,3,9000,1920
2221,157972.8212,2,3843,2007
2222,156804.9514,2,3811,2004
2223,211491.9725,3,23730,1996
2224,186537.2462,3,11050,1996
2225,200468.1611,4,10260,1976
2226,182241.3404,3,9990,1991
2227,157342.2259,2,4084,1986
2228,182022.3871,3,11563,2006
2229,181244.5109,3,12852,2007
2230,178556.6716,3,9802,2006
2231,189547.1999,3,12018,2008
2232,187948.6517,3,12890,1989
2233,194107.2876,3,18265,1986
2234,183521.7104,3,11202,2003
2235,183682.1236,3,7915,1999
2236,178483.3531,3,11449,2007
2237,184003.8798,3,11447,2005
2238,171318.5903,2,8940,1997
2239,162039.7543,2,9278,2007
2240,154846.2522,2,4500,1997
2241,194822.3657,3,14137,1964
2242,169788.7388,3,4224,1975
2243,178891.5545,4,2665,1976
2244,152084.7724,2,1974,1973
2245,139169.8664,1,1596,1973
2246,192439.536,3,17979,1968
2247,161067.8598,3,1477,1970
2248,158762.6485,2,6490,1983
2249,175569.6904,3,6600,1982
2250,183659.795,3,12395,1984
2251,280618.1326,4,56600,1900
2252,180051.8092,3,10667,1971
2253,176519.1803,3,8872,1997
2254,179028.4292,3,10147,1994
2255,177161.5839,3,8637,1999
2256,180081.5088,3,7875,1996
2257,205895.2546,5,7500,1999
2258,183389.7813,3,9556,1992
2259,178543.6479,3,7655,1993
2260,194798.3205,3,18160,1964
2261,162845.6137,2,4740,1988
2262,148103.867,1,5118,1990
2263,201016.1711,4,12328,2005
2264,277936.1269,4,51974,2006
2265,249768.2798,3,41600,1969
2266,161596.0522,2,8035,2006
2267,158011.1149,1,14082,2006
2268,194089.6839,3,13870,2006
2269,181733.3369,3,10960,1984
2270,182852.3277,3,12090,1981
2271,189893.0031,3,12299,1978
2272,194650.211,4,11339,1979
2273,187904.4613,3,11850,1984
2274,171774.9256,2,10400,1979
2275,177998.6859,2,13001,1971
2276,175648.4843,3,8991,1976
2277,196918.0714,4,8000,1974
2278,184299.8381,3,9457,1970
2279,182379.8557,3,7920,1970
2280,184050.7258,2,17199,1961
2281,158296.976,2,4113,2001
2282,175053.3556,2,10943,1997
2283,162293.3761,3,2205,1973
2284,186328.88,4,2058,1973
2285,151422.1169,2,2304,1978
2286,181969.3587,3,7150,1966
